Total mAH
21647.46
21747.86
21829.06
21934.11
21956.06
21841.65
21888.8
21878.63
21907.14
21977.13
21993.77
21962.46
21983.53
21912.81
21925.4
21977.05
21966.01
21915.44
21989.75
22012.48
22030.13
21954.94
21934.29
22000.59
22044.09
21820.53
21821.76
21840.2
21854.98
21845.9
21877.54
21875.03
21872.37
21873.07
21904.54
21854.13
21905.54
21939.8
21902.37
21831.13
21858.43
21852.36
21883.81
21861.59
21880.98
21886.24
21872.88
21789.54
21813.3
21874.25
21924.84
21815.78
21800.12
21850.73
21891.02
21868.3
21897.92
21768.54
21767.21
21874.81
21898.48
21901.41
21902.81
21796.78
21837.38
21890.77
21879.41
21744.34
21769.92
21772.47
21802.96
21734.03
21775.31
21860.83
21873.34
21844.35
21868.53
21829.29
21844.43
21855.57
21865.34
21745.46
21771.12
21791.06
21803.18
21860.5
21879
21809.65
21841.76
21724.35
21756.81
21799.83
21784.15
21751.76
21772.46
21756.69
21780.93
21769.66
21770.6
21664.81
21682.28
21658.88
21697.15
21746.61
21781.18
21806.24
21786.58
21808.82
21863.82
21780.5
21792
21900.4
21917.85
21812.37
21826.2
21774.29
21778.39
21810.76
21817.99
21767.78
21797.56
21773.15
21742.68
21635.11
21693.64
21768.12
21737.12
21780.97
21802.32
21737.47
21763.14
21690.13
21719.61
21667.25
21675.6
21775.16
21787.65
21670.44
21681.28
21545.46
21533.65
21666.24
21706.97
21711.28
21723.57
21889.34
21879.96
21832.28
21846.8
21766.27
21797.5
21852.21
21872.02
21881.15
21907.37
21944.03
21944.52
21676.18
21680.96
21712.85
21729.67
21773.12
21783.37
21891.22
21910.62
21850.09
21850.44
21745.82
21785.34
21793.54
21815.67
21835.89
21795.65
21751.97
21706.23
21740.79
21771.47
21583.31
21624.12
21774.12
21771.25
21778.31
21778.34
21692.17
21626.62
21552.9
21742.24
21895.72
21801.32
21668.01
21714.06
21825.38
21848.21
21682.07
21616.46
21687.51
21693.63
21774.66
21744.26
21675.19
21804.48
21797.64
21811.39
21743.55
21723.74
